vin,ModelYear,Make,Model,Trim,BodyClass,NumberOfOwners,MostRecentOwner,MostRecentPurchaseDate,LastReportedCity,LastReportedState,LastReportedMiles,AccidentHistory,TitleStatus,ServiceRecordCount,LastServiceDate,LastServiceLocationOnCarFax,LastServiceCityOnCarFax
JTEHT05J732036929,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J332036930,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J432044163,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J632044164,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J832044165,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05JX32044166,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J132044167,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J332044168,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J532044169,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J132044170,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J332044171,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J532044172,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J732044173,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J932044174,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J032044175,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J232044176,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J432044177,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J632044178,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J832044179,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J432044180,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J632044181,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J832044182,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05JX32044183,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J132044184,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J332044185,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J532044186,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J732044187,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J932044188,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J032044189,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J732044190,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J932044191,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J032044192,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J232044193,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J432044194,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J632044195,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
JTEHT05J832044196,2003,TOYOTA,Land Cruiser,VX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,,,,,,,,,,
